"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"acepack","acepack","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.4.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"ade4","ade4","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.7-20",NA,"R (>= 2.10)","graphics, grDevices, methods, stats, utils, MASS, pixmap, sp",NA,"ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, spdep, splancs, waveslim, progress, foreach, parallel,
doParallel, iterators",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"adegenet","adegenet","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.1.9",NA,"R (>= 2.14), methods, ade4","utils, stats, grDevices, MASS, igraph, ape, shiny, ggplot2,
seqinr, parallel, boot, reshape2, dplyr (>= 0.4.1), vegan",NA,"adespatial, pegas, hierfstat, maps, spdep, interp, splancs,
poppr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"adegraphics","adegraphics","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.0-16",NA,"R (>= 3.0.2)","ade4 (>= 1.7-13), graphics, grid, KernSmooth, lattice,
latticeExtra, methods, RColorBrewer, sp (>= 1.1-1), stats",NA,"Guerry, knitr, maptools, pixmap, rmarkdown, markdown, spdep,
splancs",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"adehabitatHR","adehabitatHR","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.4.20",NA,"R (>= 3.0.1), sp, methods, deldir, ade4, adehabitatMA,
adehabitatLT","graphics, grDevices, stats",NA,"maptools, tkrplot, MASS, rgeos",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"adehabitatLT","adehabitatLT","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.3.26",NA,"R (>= 2.10.0), sp, methods, ade4, adehabitatMA, CircStats,
stats","graphics, grDevices, utils",NA,"maptools, tkrplot, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"adehabitatMA","adehabitatMA","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.3.15",NA,"R (>= 2.10.0), sp, methods","utils, graphics, grDevices, stats",NA,"maptools, tkrplot, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"adephylo","adephylo","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.1-13",NA,"methods, ade4 (>= 1.7-10)","phylobase, ape, adegenet",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"adespatial","adespatial","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.3-20",NA,NA,"ade4 (>= 1.7-13), adegraphics, adephylo, sp, spdep, lattice,
methods, grDevices, graphics, MASS, stats, utils, shiny, vegan",NA,"knitr, rgeos, ape, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
